team,elo_rating,rank
Curaçao,1599.673608197475,98
Syria,1598.6721255245466,99
Finland,1596.984262214777,100
Rhodes,1595.1765244412204,101
County of Nice,1590.629336386883,102
Suriname,1588.733742610826,103
Réunion,1585.4989447660294,104
Angola,1583.987193022598,105
Oman,1583.7838663172931,106
Tamil Eelam,1581.9300601206512,107
Palestine,1580.1010693896285,108
Panjab,1579.813692208724,109
Kernow,1577.7456309313384,110
Andalusia,1574.384949894442,111
Guinea,1570.064697759392,112
Menorca,1567.782905488179,113
Ellan Vannin,1567.2030123144991,114
Kurdistan,1566.7435675635677,115
Artsakh,1559.2977973844722,116
China,1557.701986736858,117
Bahrain,1555.8853357786538,118
Belarus,1552.470075689996,119
Chameria,1551.8667510220907,120
Corsica,1549.1427082621292,121
Zambia,1549.008894625237,122
Quebec,1546.459304013621,123
Arameans Suryoye,1545.8731519578382,124
Thailand,1545.1701994141988,125
Yorkshire,1544.8907739299325,126
Cascadia,1543.335491316374,127
Guadeloupe,1538.9116253277325,128
Trinidad and Tobago,1536.1968471189205,129
Benin,1535.1723763043487,130
Zanzibar,1534.6984329185232,131
Bulgaria,1534.4993502857635,132
Tahiti,1531.675282801495,133
Maule Sur,1528.345836909456,134
Gambia,1525.6513095316766,135
Galicia,1523.7755845909496,136
Libya,1519.5388063712105,137
Gabon,1518.7447738115177,138
Western Armenia,1518.1997912063644,139
Biafra,1514.7913847852342,140
Asturias,1514.5761813475915,141
Parishes of Jersey,1513.0221388717898,142
Elba Island,1512.6294406471136,143
Surrey,1511.7262576880437,144
Canary Islands,1511.2980475662828,145
Uganda,1509.9815054358544,146
Montenegro,1509.0014981728827,147
Mapuche,1508.4707999873017,148
Silesia,1508.3241559638668,149
Donetsk PR,1508.1656249827613,150
Nicaragua,1507.7976279200414,151
Felvidék,1506.8287680846245,152
El Salvador,1505.9180989368408,153
Shetland,1504.3906639560323,154
Crimea,1504.3410873012729,155
Brittany,1504.2356856226625,156
Délvidék,1500.3276189409646,157
Indonesia,1499.478674729717,158
United Koreans in Japan,1497.89379017142,159
Guyana,1496.660072246242,160
Saugeais,1496.463145785539,161
Central Spain,1496.093034310335,162
Kazakhstan,1495.1700509205114,163
Madagascar,1494.584898451949,164
Székely Land,1493.3043576567495,165
Mozambique,1493.0868553244566,166
Cilento,1492.2855569215349,167
Madrid,1492.2107892483298,168
North Vietnam,1491.618760179101,169
Luhansk PR,1490.7459813079215,170
Seborga,1490.0249849116228,171
North Korea,1489.7503854787567,172
Sápmi,1488.2021042457156,173
Togo,1487.9879994057858,174
Dominican Republic,1487.336314662029,175
Martinique,1487.166640512745,176
Republic of St. Pauli,1485.261648529415,177
Vietnam,1484.8681310468276,178
Yoruba Nation,1483.5497268170338,179
Matabeleland,1483.0053296822389,180
Malaysia,1481.6578221400343,181
West Papua,1480.906763455132,182
Ryūkyū,1480.863422668247,183
Niger,1480.6087892981195,184
Somaliland,1480.1105795639648,185
Papua New Guinea,1479.947196013446,186
Åland Islands,1477.5989886873067,187
Kuwait,1477.3064566997064,188
South Ossetia,1475.8464299838467,189
Franconia,1473.9518966098,190
Greenland,1473.1302267082394,191
Kenya,1472.204459059516,192
Zimbabwe,1471.4635758191007,193
Sealand,1470.8634953965734,194
Comoros,1469.6847857666044,195
South Yemen,1469.4050838862297,196
Gozo,1467.4384608201412,197
Sierra Leone,1466.191123660553,198
Romani people,1464.9771583832107,199
Aymara,1463.1833631032423,200
Sudan,1462.5681756458296,201
Chechnya,1461.72200379806,202
Vanuatu,1460.5358208358368,203
Hmong,1460.2568580191762,204
Provence,1460.1477487179316,205
Mayotte,1459.5901204350632,206
Saarland,1458.6615771009504,207
Kabylia,1455.8874340117172,208
East Turkestan,1454.928653302411,209
Rwanda,1454.374865565463,210
Kyrgyzstan,1452.4345699696917,211
Gotland,1451.3102039373018,212
Equatorial Guinea,1450.4162406650446,213
Monaco,1449.1502820021724,214
Luxembourg,1448.976404464433,215
Manchukuo,1445.8257929711265,216
Lebanon,1443.1162463255514,217
Fiji,1442.1329420800887,218
Palau,1442.0420861299317,219
Tajikistan,1440.0640031010412,220
Mauritania,1439.5920211419434,221
French Guiana,1439.4210844920838,222
Malawi,1438.6636099716804,223
Cuba,1437.810722894325,224
Saint Barthélemy,1437.6742447674817,225
Western Isles,1435.7374488609355,226
Liberia,1434.3912810652132,227
Vatican City,1431.4628794309924,228
Găgăuzia,1430.5060603092177,229
Armenia,1428.7265558254137,230
Niue,1428.622310392385,231
Ticino,1423.928412169666,232
Namibia,1421.157100188618,233
Tanzania,1418.1617404325627,234
Marshall Islands,1417.81548389728,235
Estonia,1416.792503583527,236
Faroe Islands,1415.7470427650003,237
Lesotho,1409.4913499904442,238
Two Sicilies,1409.1444423163068,239
Raetia,1407.4228965927086,240
Orkney,1400.5560259412205,241
Western Sahara,1399.6885103284692,242
Western Australia,1397.8890575440128,243
Ambazonia,1395.249589794947,244
Azerbaijan,1394.0693185629812,245
Ethiopia,1391.1832811138386,246
Turkmenistan,1390.1706902235612,247
Botswana,1388.2724002702505,248
Solomon Islands,1387.9859832029665,249
Burundi,1385.978032585092,250
Barawa,1373.004539683676,251
Puerto Rico,1370.4678715256928,252
Guinea-Bissau,1369.6327893279038,253
Vietnam Republic,1365.1893255090654,254
Chagos Islands,1364.5140966363474,255
Cyprus,1364.1627426369994,256
Central African Republic,1361.898857374438,257
Yemen DPR,1360.8087751640448,258
Saint Vincent and the Grenadines,1355.024830175214,259
Philippines,1351.231536891545,260
Saint Helena,1350.7651027195234,261
Bermuda,1346.308746882224,262
Hitra,1343.1378317191145,263
Congo,1342.663326648407,264
Saare County,1342.352671104645,265
Hong Kong,1339.684601323545,266
Micronesia,1334.233819273466,267
Malta,1332.3174835781554,268
Sark,1328.517455690888,269
Latvia,1326.0092221883974,270
Lithuania,1324.687554905412,271
Moldova,1319.584540519592,272
Saint Martin,1316.7105759397186,273
Eswatini,1316.085615040592,274
Sint Maarten,1310.3907284798422,275
Yemen,1308.3545193131529,276
Singapore,1308.0284719264405,277
Belize,1304.4456757205342,278
Wallis Islands and Futuna,1299.4540544595022,279
Grenada,1297.680079781965,280
Saint Pierre and Miquelon,1291.6122085292943,281
Saint Kitts and Nevis,1288.023066836004,282
Darfur,1275.4905366680557,283
South Sudan,1271.1343500053597,284
Tibet,1269.8018409832637,285
Samoa,1266.3955441454823,286
India,1258.4955915393589,287
Chad,1255.0672595033511,288
Montserrat,1241.1400492235832,289
Kiribati,1237.1485906182995,290
Saint Lucia,1235.2746880442314,291
Tuvalu,1227.834781500864,292
Aruba,1225.6021121215329,293
Mauritius,1220.4224298281438,294
Falkland Islands,1215.134953229417,295
Eritrea,1208.0646860366828,296
Frøya,1193.51031033899,297
Afghanistan,1187.4786613872511,298
São Tomé and Príncipe,1187.0632481885823,299
Dominica,1181.1337209272003,300
Cook Islands,1168.8295052686117,301
Myanmar,1152.2410543073424,302
Bonaire,1147.5127289698853,303
Barbados,1144.837814014913,304
Bangladesh,1141.8468292944583,305
Andorra,1141.0225668793391,306
Antigua and Barbuda,1140.0202284501647,307
Gibraltar,1135.9988311300042,308
Pakistan,1134.7441700005509,309
Nepal,1111.0478421459568,310
Tonga,1099.2808851628583,311
Cambodia,1094.6385304066976,312
Alderney,1080.3244661122924,313
Djibouti,1079.5866928754608,314
Taiwan,1073.2938768689796,315
Cayman Islands,1073.204101853921,316
Somalia,1055.4101353171247,317
British Virgin Islands,1047.3778104733697,318
Sri Lanka,1023.4701458978208,319
Turks and Caicos Islands,1022.2000454720364,320
Seychelles,1020.4598758846228,321
Maldives,1019.4536991218778,322
Mongolia,1008.100333029832,323
United States Virgin Islands,1004.69705004577,324
Guam,998.4819014862512,325
Liechtenstein,993.7731834816304,326
Northern Mariana Islands,988.786360098664,327
Bahamas,977.3727819577886,328
Laos,962.2695877177308,329
American Samoa,944.9795579119576,330
Anguilla,924.5859423804372,331
San Marino,919.8940717333252,332
Brunei,916.1141493178876,333
Timor-Leste,912.9433388881458,334
Macau,874.653857781412,335
Bhutan,867.8259955337223,336
