team,matches,ema_goals_for,ema_goals_against,ema_points,last_date
Canada,473,1.70451392241503,0.6310747342061587,1.758360119413109,2026-06-28 19:00:00+00:00
Canary Islands,4,1.9055114000000004,0.95959844,1.7659869200000005,2007-12-29 00:00:00+00:00
Cape Verde,238,1.0744019401228482,1.0571974037493348,1.1925337702963177,2026-06-27 00:00:00+00:00
Cascadia,7,3.094260123417921,1.8777635334108809,1.8066481039376003,2019-05-25 00:00:00+00:00
Catalonia,48,1.8673181524963185,1.2901126223243886,1.6529470931181425,2019-03-25 00:00:00+00:00
Cayman Islands,119,1.0868165040457949,1.905474113392044,1.09037339736385,2026-06-06 00:00:00+00:00
Central African Republic,138,0.8100372560297823,2.2578177427298733,0.8276767472407384,2026-06-09 00:00:00+00:00
Central Spain,2,1.1681,1.4309000000000005,1.3805,1923-11-25 00:00:00+00:00
Chad,138,0.9959343257515032,2.048804240898307,0.3670870274505217,2025-11-17 00:00:00+00:00
Chagos Islands,16,1.4016703889172195,5.517637776028379,0.3389763775328483,2019-12-29 00:00:00+00:00
Chameria,7,1.7939883933699203,1.1653036125545604,1.5162303439376004,2023-07-01 00:00:00+00:00
Chechnya,3,1.1644100000000002,5.018858,0.8368100000000002,2006-02-18 00:00:00+00:00
Chile,835,1.5859326528788014,1.620047308757833,1.6159359152053543,2026-06-09 00:00:00+00:00
China,702,0.905142287561271,1.0555088696620525,1.3878862542523815,2026-06-09 00:00:00+00:00
Cilento,1,1.025,1.3850000000000002,1.025,2011-12-29 00:00:00+00:00
Colombia,641,1.6482017037956336,0.692515467089743,2.0676700127491827,2026-06-27 23:30:00+00:00
Comoros,151,0.6440777163971105,0.8886702155425343,1.1068902872922095,2026-06-09 00:00:00+00:00
Congo,406,0.6929221246757289,1.966653592759376,0.4035493796166328,2025-10-14 00:00:00+00:00
Cook Islands,53,0.632491855414256,2.563326681221382,0.7672143257186186,2024-09-06 00:00:00+00:00
Corsica,9,1.1005612101320346,0.7180989403706377,1.6446453973638242,2017-05-26 00:00:00+00:00
Costa Rica,724,1.060615144002943,2.212017636511779,0.7274144360739145,2026-06-10 00:00:00+00:00
County of Nice,9,2.0422935306665373,1.5985482606916133,1.893518346815643,2015-06-21 00:00:00+00:00
Crimea,5,1.427535044,1.8265663880000005,1.5670595240000005,2006-11-25 00:00:00+00:00
Croatia,399,1.7658152172208723,1.3839641706381396,2.0585381951202657,2026-06-27 21:00:00+00:00
Cuba,397,1.301859742823053,1.5220047272914352,1.2338083698691462,2026-03-29 00:00:00+00:00
Curaçao,388,1.2092720882855588,2.1188863796613124,0.8938529112677742,2026-06-25 20:00:00+00:00
Cyprus,426,1.5604320531027531,1.4190761745530744,1.4160540379479247,2026-06-07 00:00:00+00:00
Czech Republic,363,1.7013786842465457,1.547891501161549,1.2963186678427323,2026-06-25 01:00:00+00:00
Czechoslovakia,520,1.9014719779841016,0.8347836891714574,1.6888814938907848,1993-11-17 00:00:00+00:00
DR Congo,527,1.2628619981928249,0.7943591935277137,1.5690229417924757,2026-06-27 23:30:00+00:00
Darfur,7,0.3929887550096002,10.5962643270224,0.3116068382096001,2014-06-07 00:00:00+00:00
Denmark,874,2.112404447530007,1.0966340507145425,1.8617528745798,2026-06-07 00:00:00+00:00
Djibouti,111,0.464300153824979,2.590948944894547,0.1656281196857023,2025-11-26 00:00:00+00:00
Dominica,215,0.7553142200685306,1.8136486794615343,0.6348831383854567,2026-03-30 00:00:00+00:00
Dominican Republic,159,1.4828017584876592,1.6644775693619884,0.9521891314244824,2026-06-03 00:00:00+00:00
Donetsk PR,6,1.3659752160800005,1.1177335014560004,1.4863790592800004,2017-08-31 00:00:00+00:00
Délvidék,2,1.4633000000000005,1.3481,1.2833000000000003,2016-08-03 00:00:00+00:00
East Turkestan,5,2.1211121384000005,2.6563913576000004,1.1503705544000005,2025-07-04 00:00:00+00:00
Ecuador,594,1.1640619685347366,0.5777592781273048,1.7772602819661167,2026-06-25 20:00:00+00:00
Egypt,759,1.4105396599425086,0.8542700570230379,1.6185964280331573,2026-06-27 03:00:00+00:00
El Salvador,614,0.502539190704347,1.1801357602362037,0.8940246123187572,2026-06-06 00:00:00+00:00
Elba Island,2,2.3309,1.1357000000000004,1.8233000000000004,2022-07-16 00:00:00+00:00
Ellan Vannin,22,1.7583971331754684,1.371742757854733,1.6188911348431825,2018-06-03 00:00:00+00:00
