match_id,utc_date,status,stage,group,matchday,home_team,away_team,winner,duration,home_score_full_time,away_score_full_time,last_updated
537405,2026-06-23 17:00:00+00:00,TIMED,GROUP_STAGE,GROUP_K,2.0,Portugal,Uzbekistan,,REGULAR,,,2026-06-10 10:20:19+00:00
537411,2026-06-23 20:00:00+00:00,TIMED,GROUP_STAGE,GROUP_L,2.0,England,Ghana,,REGULAR,,,2026-06-10 10:20:19+00:00
537412,2026-06-23 23:00:00+00:00,TIMED,GROUP_STAGE,GROUP_L,2.0,Panama,Croatia,,REGULAR,,,2026-06-10 10:20:19+00:00
537406,2026-06-24 02:00:00+00:00,TIMED,GROUP_STAGE,GROUP_K,2.0,Colombia,Congo DR,,REGULAR,,,2026-06-10 10:20:19+00:00
537337,2026-06-24 19:00:00+00:00,TIMED,GROUP_STAGE,GROUP_B,3.0,Switzerland,Canada,,REGULAR,,,2026-06-10 10:20:19+00:00
537338,2026-06-24 19:00:00+00:00,TIMED,GROUP_STAGE,GROUP_B,3.0,Bosnia-Herzegovina,Qatar,,REGULAR,,,2026-06-10 10:20:19+00:00
537343,2026-06-24 22:00:00+00:00,TIMED,GROUP_STAGE,GROUP_C,3.0,Scotland,Brazil,,REGULAR,,,2026-06-10 10:20:19+00:00
537344,2026-06-24 22:00:00+00:00,TIMED,GROUP_STAGE,GROUP_C,3.0,Morocco,Haiti,,REGULAR,,,2026-06-10 10:20:19+00:00
537331,2026-06-25 01:00:00+00:00,TIMED,GROUP_STAGE,GROUP_A,3.0,Czechia,Mexico,,REGULAR,,,2026-06-10 10:20:19+00:00
537332,2026-06-25 01:00:00+00:00,TIMED,GROUP_STAGE,GROUP_A,3.0,South Africa,South Korea,,REGULAR,,,2026-06-10 10:20:19+00:00
537355,2026-06-25 20:00:00+00:00,TIMED,GROUP_STAGE,GROUP_E,3.0,Ecuador,Germany,,REGULAR,,,2026-06-10 10:20:19+00:00
537356,2026-06-25 20:00:00+00:00,TIMED,GROUP_STAGE,GROUP_E,3.0,Curaçao,Ivory Coast,,REGULAR,,,2026-06-10 10:20:19+00:00
537361,2026-06-25 23:00:00+00:00,TIMED,GROUP_STAGE,GROUP_F,3.0,Tunisia,Netherlands,,REGULAR,,,2026-06-10 10:20:19+00:00
